MATRIKELNUMMER;STUDBEZ;ZULAC;SEMESTER_ID;STUDIENJAHR;ST_SEM_NR;StudienStatusCode;StatusgruppeS;StatusgruppeSem1;STUDBEZ_kompakt;Studart;Studgruppe;FAMILIENNAME;VORNAME;GESCHLECHT;LAND_1;STUDDAUER;OUTGOINGSEM;Beginndat_Min;Endedat_Max;besuchtesSemester;Alter;Ueberlaenge;StatusgruppeR;ECTS_Sem;SWS_Sem;ECTS_Sj;SWS_Sj;prfakt;IncomingsemUHSBV
00700480;"Bachelorstudium; Powerpoint";O;14W;2014/15;89;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;14.07.2013;19.08.2015;3;27;-5;Studienfortsetzung;24;14;45;25;superprfakt;
11703719;"Bachelorstudium; Powerpoint";O;18W;2018/19;97;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;11.02.2018;31.12.9999;3;18;-5;Studienfortsetzung;24;14,5;57,5;36;superprfakt;
01569389;"Bachelorstudium; Powerpoint";O;19S;2018/19;98;IX;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;16.08.2015;03.07.2019;8;26;0;Studienabschluss;24;11;53,5;29;superprfakt;
11722233;"Bachelorstudium; Powerpoint";O;20S;2019/20;100;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;06.09.2019;31.12.9999;2;20;-6;Studienfortsetzung;24;13;44;24;superprfakt;
09363473;"Bachelorstudium; Powerpoint";O;13W;2013/14;87;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;02.12.2009;13.07.2014;9;26;1;Studienfortsetzung;24;12;24;12;prfakt;
00097089;"Bachelorstudium; Powerpoint";O;14W;2014/15;89;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;19.05.2011;18.11.2018;7;32;-1;Studienfortsetzung;24;16;57,5;38;superprfakt;
01442545;"Bachelorstudium; Powerpoint";O;15W;2015/16;91;aB;Studienbeginn; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;04.10.2015;31.12.9999;1;22;-7;Studienbeginn;24;14;43,5;24;superprfakt;
01367727;"Bachelorstudium; Powerpoint";O;19S;2018/19;98;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;20.08.2017;31.12.9999;4;24;-4;Studienfortsetzung;24;13;43;23;superprfakt;
01623216;"Bachelorstudium; Powerpoint";O;19S;2018/19;98;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;12.09.2016;31.12.9999;6;23;-2;Studienfortsetzung;24;14;54;35;superprfakt;
11764797;"Bachelorstudium; Powerpoint";O;19W;2019/20;99;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;12.10.2018;31.12.9999;3;23;-5;Studienfortsetzung;24;13;48,5;28;superprfakt;
01366335;"Bachelorstudium; Powerpoint";O;16W;2016/17;93;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;18.02.2015;09.12.2018;5;24;-3;Studienfortsetzung;24;13;46;25;superprfakt;
61802698;"Bachelorstudium; Powerpoint";O;20W;2020/21;101;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;China;8;;07.09.2018;31.12.9999;5;21;-3;Studienfortsetzung;24;14;32;22;superprfakt;
01367432;"Bachelorstudium; Powerpoint";O;14W;2014/15;89;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;25.06.2013;30.07.2018;3;21;-5;Studienfortsetzung;24;12;57;34;superprfakt;
01369113;"Bachelorstudium; Powerpoint";O;16W;2016/17;93;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;16.08.2013;07.11.2017;7;28;-1;Studienfortsetzung;24;15;39;21;prfakt;
01634842;"Bachelorstudium; Powerpoint";O;17W;2017/18;95;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Kolumbien;8;;02.06.2016;30.12.2018;3;23;-5;Studienfortsetzung;24;15;47,5;29,5;superprfakt;
01567581;"Bachelorstudium; Powerpoint";O;18W;2018/19;97;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;25.11.2015;12.09.2019;7;29;-1;Studienfortsetzung;24;14;47,5;26,5;superprfakt;
00897394;"Bachelorstudium; Powerpoint";O;14S;2013/14;88;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;25.11.2010;23.02.2015;8;22;0;Studienfortsetzung;24;13;53;32;superprfakt;
01033364;"Bachelorstudium; Powerpoint";O;17S;2016/17;94;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;21.10.2014;11.05.2018;6;24;-2;Studienfortsetzung;24;10,5;53,5;27,5;superprfakt;
01468744;"Bachelorstudium; Powerpoint";O;18S;2017/18;96;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;21.06.2014;14.02.2020;8;21;0;Studienfortsetzung;24;13;42;22;superprfakt;
01546153;"Bachelorstudium; Powerpoint";O;18W;2018/19;97;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;23.11.2016;31.12.9999;5;21;-3;Studienfortsetzung;24;14;45;25;superprfakt;
11717482;"Bachelorstudium; Powerpoint";O;19S;2018/19;98;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;10.06.2017;31.12.9999;4;22;-4;Studienfortsetzung;24;15,5;51;31,5;superprfakt;
01354438;"Bachelorstudium; Powerpoint";O;19W;2019/20;99;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Deutschland;8;;07.12.2017;31.12.9999;5;27;-3;Studienfortsetzung;24;15;44,5;24;superprfakt;
01436790;"Bachelorstudium; Powerpoint";O;17S;2016/17;94;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;26.06.2016;17.11.2020;2;24;-6;Studienfortsetzung;24;15;47;27;superprfakt;
00666690;"Bachelorstudium; Powerpoint";O;20W;2020/21;101;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;26.01.2020;31.12.9999;3;29;-5;Studienfortsetzung;24;14;29,5;19;superprfakt;
00366621;"Bachelorstudium; Powerpoint";O;14W;2014/15;89;aB;Studienbeginn; ;"BA; PPP";BA;PPP;Personson;Person;W;Litauen;8;;27.01.2015;04.08.2020;1;24;-7;Studienbeginn;24;14;48;28;superprfakt;
00965400;"Bachelorstudium; Powerpoint";O;15S;2014/15;90;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Iran;8;;01.02.2012;07.04.2017;8;27;0;Studienfortsetzung;24;12;40;19;superprfakt;
01057028;"Bachelorstudium; Powerpoint";O;15W;2015/16;91;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;28.12.2011;25.10.2017;9;25;1;Studienfortsetzung;24;12;28;16;prfakt;
01267630;"Bachelorstudium; Powerpoint";O;16W;2016/17;93;IX;Studienabschluss; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;09.11.2012;22.03.2017;9;22;1;Studienabschluss;24;12;24;12;prfakt;
01265635;"Bachelorstudium; Powerpoint";O;17S;2016/17;94;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;29.06.2013;12.02.2018;8;21;0;Studienfortsetzung;24;11;51,5;27;superprfakt;
01122830;"Bachelorstudium; Powerpoint";O;17W;2017/18;95;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;16.07.2013;06.02.2018;9;24;1;Studienfortsetzung;24;14;43;30;superprfakt;
11727264;"Bachelorstudium; Powerpoint";O;20W;2020/21;101;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;12.09.2017;01.02.2021;7;24;-1;Studienfortsetzung;24;12;46,5;22;superprfakt;
01634349;"Bachelorstudium; Powerpoint";O;16W;2016/17;93;aE;Studienbeginn; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;29.01.2017;31.12.9999;1;23;-7;Studienbeginn;24;14;30,5;19,5;prfakt;
00862097;"Bachelorstudium; Powerpoint";O;18S;2017/18;96;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Deutschland;8;;12.08.2016;04.03.2020;13;27;5;Studienfortsetzung;24;13;33;21;superprfakt;
11724811;"Bachelorstudium; Powerpoint";O;18S;2017/18;96;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Deutschland;8;;04.09.2017;31.12.9999;2;21;-6;Studienfortsetzung;24;15;51;32;superprfakt;
11725216;"Bachelorstudium; Powerpoint";O;18S;2017/18;96;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Iran;8;;03.11.2017;31.12.9999;2;22;-6;Studienfortsetzung;24;16;44;26;superprfakt;
11797028;"Bachelorstudium; Powerpoint";O;19S;2018/19;98;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;22.02.2019;31.12.9999;2;17;-6;Studienfortsetzung;24;15;43,5;25;superprfakt;
00667588;"Bachelorstudium; Powerpoint";O;20W;2020/21;101;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Ukraine;8;;08.07.2019;31.12.9999;3;39;-5;Studienfortsetzung;24;14;44,6;23,1;superprfakt;
01504545;"Bachelorstudium; Powerpoint";O;20W;2020/21;101;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;02.08.2019;31.12.9999;3;25;-5;Studienfortsetzung;24;20;39,5;32;superprfakt;
11799280;"Bachelorstudium; Business Intelligence";O;19S;2018/19;98;I;Studienfortsetzung; ;"BA; BI";BA;Business Intelligence;Personson;Person;M;Österreich;8;;22.09.2018;31.12.9999;2;23;-6;Studienfortsetzung;24;27;33,5;40;superprfakt;
01631925;"Bachelorstudium; Business Intelligence";O;18S;2017/18;96;I;Studienfortsetzung; ;"BA; BI";BA;Business Intelligence;Personson;Person;W;Österreich;8;;21.10.2016;31.12.9999;4;19;-4;Studienfortsetzung;24;25;38,5;41;superprfakt;
01466924;"Bachelorstudium; Business Intelligence";O;18W;2018/19;97;I;Studienfortsetzung; ;"BA; BI";BA;Business Intelligence;Personson;Person;W;Österreich;8;;22.07.2018;31.12.9999;7;24;-1;Studienfortsetzung;24;17;51;37,5;superprfakt;
00898437;"Bachelorstudium; Business Intelligence";O;19S;2018/19;98;I;Studienfortsetzung; ;"BA; BI";BA;Business Intelligence;Personson;Person;M;Österreich;8;;28.05.2017;31.12.9999;8;32;0;Studienfortsetzung;24;19;45,5;38,5;superprfakt;
00964070;"Masterstudium; Powerpoint";O;17W;2017/18;95;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Ungarn;4;;24.01.2016;13.06.2018;5;30;1;Studienfortsetzung;24;15;74;26;superprfakt;
00898612;"Masterstudium; Powerpoint";O;13W;2013/14;87;aB;Studienbeginn; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;25.05.2013;22.01.2016;1;21;-3;Studienbeginn;24;15;49;30;superprfakt;
00100238;"Masterstudium; Powerpoint";O;14S;2013/14;88;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;14.09.2012;26.12.2015;4;29;0;Studienfortsetzung;24;14;40;21;superprfakt;
00693293;"Masterstudium; Powerpoint";O;16W;2016/17;93;aB;Studienbeginn; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;29.01.2017;24.05.2018;1;30;-3;Studienbeginn;24;16;46;30;superprfakt;
01270360;"Masterstudium; Powerpoint";O;17W;2017/18;95;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;27.10.2016;15.07.2020;3;24;-1;Studienfortsetzung;24;15;38;20;prfakt;
01342583;"Masterstudium; Powerpoint";O;19W;2019/20;99;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;11.06.2019;31.12.9999;2;26;-2;Studienfortsetzung;24;13;48;28;superprfakt;
01263080;"Masterstudium; Powerpoint";O;19W;2019/20;99;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Serbien;4;;27.12.2017;31.12.9999;4;25;0;Studienfortsetzung;24;12;37,5;16;prfakt;
01065605;"Masterstudium; Powerpoint";O;19W;2019/20;99;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;28.01.2017;20.11.2020;6;32;2;Studienfortsetzung;24;12;45;22;superprfakt;
01567133;"Masterstudium; Powerpoint";O;16S;2015/16;92;aEZ;Studienabbruch;Studienabbruch-Sem1;"MA; PPP";MA;PPP;Personson;Person;W;Russische Föderation;4;;09.04.2016;12.10.2016;1;30;-3;Studienabbruch;24;13;24;13;prfakt;INCOMING
00963259;"Masterstudium; Powerpoint";O;17S;2016/17;94;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;M;Deutschland;4;;15.01.2017;14.12.2020;2;30;-2;Studienfortsetzung;24;16;36;20;superprfakt;
00611310;"Masterstudium; Powerpoint";O;14S;2013/14;88;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;18.06.2013;26.10.2016;2;26;-2;Studienfortsetzung;24;16;34;24;superprfakt;
00762811;"Masterstudium; Powerpoint";O;13W;2013/14;87;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;M;Bulgarien;4;;22.08.2012;12.02.2016;3;26;-1;Studienfortsetzung;24;13;40;21;superprfakt;
01123134;"Masterstudium; Powerpoint";O;18W;2018/19;97;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;16.06.2017;05.05.2020;3;32;-1;Studienfortsetzung;24;14;43;23;superprfakt;
01367515;"Masterstudium; Powerpoint";O;19W;2019/20;99;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;01.08.2018;31.12.9999;3;27;-1;Studienfortsetzung;24;12;49;28;superprfakt;
01321272;"Masterstudium; Powerpoint";O;19W;2019/20;99;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;14.07.2019;31.12.9999;2;23;-2;Studienfortsetzung;24;15;43;24;superprfakt;
01399618;"Masterstudium; Powerpoint";O;20W;2020/21;101;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;02.02.2019;31.12.9999;4;24;0;Studienfortsetzung;24;13;24;13;prfakt;
00970820;"Masterstudium; Powerpoint";O;15W;2015/16;91;aB;Studienbeginn; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;19.09.2015;31.12.9999;1;23;-3;Studienbeginn;24;16;47;30;superprfakt;
00752190;"Masterstudium; Powerpoint";O;13W;2013/14;87;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;16.11.2012;08.02.2017;2;30;-2;Studienfortsetzung;24;15;41;22;superprfakt;
00869942;"Masterstudium; Powerpoint";O;14S;2013/14;88;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;30.11.2012;24.02.2017;3;25;-1;Studienfortsetzung;24;13;48;26,5;superprfakt;
00964438;"Masterstudium; Powerpoint";O;19S;2018/19;98;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;21.05.2017;31.12.9999;4;26;0;Studienfortsetzung;24;13;49,5;27;superprfakt;
01369571;"Masterstudium; Powerpoint";O;19S;2018/19;98;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;China;4;;22.09.2018;26.04.2021;2;34;-2;Studienfortsetzung;24;5;40;14;superprfakt;
11721239;"Masterstudium; Powerpoint";O;20W;2020/21;101;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Deutschland;4;;26.09.2019;31.12.9999;3;24;-1;Studienfortsetzung;24;13;42;21;superprfakt;
01045694;"Masterstudium; Powerpoint";O;20S;2019/20;100;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;20.10.2016;31.12.9999;7;29;3;Studienfortsetzung;24;8,1;35;11,1;prfakt;
00498099;"Masterstudium; Powerpoint";O;18S;2017/18;96;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;29.12.2015;07.08.2020;6;31;2;Studienfortsetzung;24;14;38;18;prfakt;
01364590;"Masterstudium; Powerpoint";O;19S;2018/19;98;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;18.02.2018;25.10.2021;3;27;-1;Studienfortsetzung;24;13;43;23;superprfakt;
00969341;"Masterstudium; Powerpoint";O;15W;2015/16;91;aB;Studienbeginn; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;21.05.2015;22.08.2019;1;26;-3;Studienbeginn;24;15;32;23;superprfakt;
01164648;"Masterstudium; Powerpoint";O;16W;2016/17;93;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Japan;4;;05.11.2015;06.03.2018;2;26;-2;Studienfortsetzung;24;15;46;29;superprfakt;
01168662;"Masterstudium; Powerpoint";O;17S;2016/17;94;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Japan;4;;30.01.2016;25.10.2018;3;28;-1;Studienfortsetzung;24;16;47;30;superprfakt;
00963675;"Masterstudium; Powerpoint";O;14S;2013/14;88;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;M;Italien;4;;01.12.2013;12.09.2016;2;23;-2;Studienfortsetzung;24;15;43;25;superprfakt;
01295816;"Masterstudium; Business Intelligence";O;20S;2019/20;100;IX;Studienabschluss; ;"MA; BI";MA;Business Intelligence;Personson;Person;W;Österreich;4;;25.04.2018;16.04.2020;4;27;0;Studienabschluss;24;0;28;4;prfakt;
01212792;"Masterstudium; Business Intelligence";O;20W;2020/21;101;I;Studienfortsetzung; ;"MA; BI";MA;Business Intelligence;Personson;Person;W;Österreich;4;J;23.06.2018;03.06.2021;5;24;1;Studienfortsetzung;24;0;24;0;prfakt;
01353095;"Masterstudium; Business Intelligence";O;21S;2020/21;102;IX;Studienabschluss; ;"MA; BI";MA;Business Intelligence;Personson;Person;W;Österreich;4;;13.06.2019;19.04.2021;5;23;1;Studienabschluss;24;0;31;7;prfakt;
01062278;"Bachelorstudium; Powerpoint";O;14S;2013/14;88;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;03.01.2011;21.02.2016;8;22;0;Studienfortsetzung;23,5;14;60;37;superprfakt;
01000624;"Bachelorstudium; Powerpoint";O;15W;2015/16;91;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;03.10.2014;31.12.9999;3;23;-5;Studienfortsetzung;23,5;12;51,5;29;superprfakt;
01003370;"Bachelorstudium; Powerpoint";O;16W;2016/17;93;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;26.01.2014;30.07.2018;7;25;-1;Studienfortsetzung;23,5;13;62;40,5;superprfakt;
01245012;"Bachelorstudium; Powerpoint";O;16W;2016/17;93;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;22.07.2015;31.12.9999;3;20;-5;Studienfortsetzung;23,5;20,5;43;38,5;superprfakt;
01415758;"Bachelorstudium; Powerpoint";O;18W;2018/19;97;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;28.09.2015;31.12.9999;7;20;-1;Studienfortsetzung;23,5;14,5;52,5;30,5;superprfakt;
00711784;"Bachelorstudium; Powerpoint";O;15S;2014/15;90;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Tschechien;8;;29.08.2010;12.03.2016;10;31;2;Studienfortsetzung;23,5;11;43,5;21;superprfakt;
00912151;"Bachelorstudium; Powerpoint";O;17W;2017/18;95;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;01.06.2016;31.12.9999;3;25;-5;Studienfortsetzung;23,5;12;46,5;24;superprfakt;
00910419;"Bachelorstudium; Powerpoint";O;18W;2018/19;97;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;06.08.2016;31.12.9999;5;30;-3;Studienfortsetzung;23,5;14;52;31;superprfakt;
11705226;"Bachelorstudium; Powerpoint";O;19S;2018/19;98;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;11.10.2018;31.12.9999;2;20;-6;Studienfortsetzung;23,5;14;49,5;30;superprfakt;
01364549;"Bachelorstudium; Powerpoint";O;14S;2013/14;88;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Ungarn;8;;06.10.2013;21.08.2018;2;22;-6;Studienfortsetzung;23,5;14;38;20;prfakt;
01065748;"Bachelorstudium; Powerpoint";O;13W;2013/14;87;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;07.01.2012;03.08.2015;5;21;-3;Studienfortsetzung;23,5;16;46,5;28;superprfakt;
00862821;"Bachelorstudium; Powerpoint";O;14S;2013/14;88;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Ungarn;8;;31.10.2010;22.04.2015;8;25;0;Studienfortsetzung;23,5;12;46,5;24;superprfakt;
01163239;"Bachelorstudium; Powerpoint";O;14S;2013/14;88;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Iran;8;;11.02.2014;18.11.2017;2;21;-6;Studienfortsetzung;23,5;14;44,5;24;superprfakt;
01166438;"Bachelorstudium; Powerpoint";O;14S;2013/14;88;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Deutschland;8;;08.07.2011;26.05.2016;6;21;-2;Studienfortsetzung;23,5;13;45;25;superprfakt;
01263982;"Bachelorstudium; Powerpoint";O;14S;2013/14;88;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;23.09.2012;29.05.2016;4;19;-4;Studienfortsetzung;23,5;21,5;38;32,5;superprfakt;
01363917;"Bachelorstudium; Powerpoint";O;14W;2014/15;89;aB;Studienbeginn; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;27.08.2014;20.05.2019;1;22;-7;Studienbeginn;23,5;20;49,5;43;superprfakt;
09865544;"Bachelorstudium; Powerpoint";O;14W;2014/15;89;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;06.02.2012;08.10.2016;7;19;-1;Studienfortsetzung;23,5;11;50;25;superprfakt;
00899591;"Bachelorstudium; Powerpoint";O;14W;2014/15;89;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;03.12.2013;26.08.2018;3;21;-5;Studienfortsetzung;23,5;13;46,5;27;superprfakt;
09869985;"Bachelorstudium; Powerpoint";O;15S;2014/15;90;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;23.05.2011;22.05.2016;8;22;0;Studienfortsetzung;23,5;11;51;26;superprfakt;
01465547;"Bachelorstudium; Powerpoint";O;15S;2014/15;90;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;20.11.2014;25.05.2019;2;17;-6;Studienfortsetzung;23,5;14;37,5;19;superprfakt;
01212990;"Bachelorstudium; Powerpoint";O;15W;2015/16;91;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Italien;8;;24.08.2012;23.06.2016;7;20;-1;Studienfortsetzung;23,5;11;41;17;superprfakt;
01004941;"Bachelorstudium; Powerpoint";O;15W;2015/16;91;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;11.02.2013;20.09.2016;7;25;-1;Studienfortsetzung;23,5;11;50;23,5;superprfakt;
01264164;"Bachelorstudium; Powerpoint";O;16S;2015/16;92;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Serbien;8;;05.01.2014;14.03.2018;6;24;-2;Studienfortsetzung;23,5;15;45;27;superprfakt;
01344226;"Bachelorstudium; Powerpoint";O;17S;2016/17;94;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;14.08.2014;25.05.2019;6;24;-2;Studienfortsetzung;23,5;12,5;44,5;24,5;superprfakt;
01402356;"Bachelorstudium; Powerpoint";O;17S;2016/17;94;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;14.09.2015;10.07.2020;4;20;-4;Studienfortsetzung;23,5;13,5;52;31,5;superprfakt;
01267197;"Bachelorstudium; Powerpoint";O;18W;2018/19;97;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Iran;8;;25.07.2015;24.08.2020;7;26;-1;Studienfortsetzung;23,5;11;50,5;25;superprfakt;
11708676;"Bachelorstudium; Powerpoint";O;19W;2019/20;99;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;19.02.2019;20.02.2021;3;23;-5;Studienfortsetzung;23,5;13;46;26;superprfakt;
01636059;"Bachelorstudium; Powerpoint";O;19W;2019/20;99;Bp;Studienunterbrechung_Ende; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;29.05.2016;05.07.2021;5;20;-3;Studienunterbrechung_Ende;23,5;14,5;49,5;29,5;superprfakt;
01617839;"Bachelorstudium; Powerpoint";O;19W;2019/20;99;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;21.02.2018;04.05.2021;5;23;-3;Studienfortsetzung;23,5;13;55,5;33;superprfakt;
01616131;"Bachelorstudium; Powerpoint";O;21S;2020/21;102;IX;Studienabschluss; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;17.05.2017;29.03.2021;8;24;0;Studienabschluss;23,5;11;41;18;superprfakt;
00967441;"Bachelorstudium; Powerpoint";O;13W;2013/14;87;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Malaysia;8;;21.08.2009;21.10.2015;8;37;0;Studienfortsetzung;23,5;12,5;37;17;prfakt;
01363504;"Bachelorstudium; Powerpoint";O;15W;2015/16;91;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Japan;8;;23.10.2014;01.01.2019;3;27;-5;Studienfortsetzung;23,5;13;58;36,5;superprfakt;
00963734;"Bachelorstudium; Powerpoint";O;16W;2016/17;93;IX;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;09.05.2012;12.01.2017;9;27;1;Studienabschluss;23,5;12;23,5;12;prfakt;
00965927;"Bachelorstudium; Powerpoint";O;16W;2016/17;93;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;30.10.2013;21.05.2018;7;25;-1;Studienfortsetzung;23,5;10;46,5;20;superprfakt;
